freq,airpol,indic_env,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,SK	1727.175 	1792.783 	1528.066 	1426.562 	1366.885 	1441.624 	1371.177 	1375.338 	1556.869 	1641.067 	1477.768 	1541.884 	1742.077 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,AT	19958.016 	21403.638 	20060.811 	19756.803 	19549.505 	17567.19 	17062.852 	17573.687 	19747.02 	19817.882 	16649.286 	17587.969 	16251.065 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,BE	25887.634 	23669.213 	22593.376 	21673.642 	22802.131 	20835.164 	21307.616 	20541.437 	22436.204 	21878.343 	19122.752 	21668.96 	21098.906 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,BG	9275.208 	9107.382 	9158.577 	8236.768 	8917.67 	8584.983 	8472.901 	8702.966 	8804.119 	9497.647 	9449.432 	9939.944 	13988.292 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,CY	2839.34 	2565.661 	2289.278 	2142.732 	2407.611 	2349.234 	2492.672 	2699.348 	2689.555 	2712.8 	2432.038 	2471.937 	2685.237 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,CZ	20268.059 	21779.899 	19336.106 	18523.303 	17408.456 	17917.978 	16298.711 	17943.737 	18011.909 	18305.145 	16757.808 	18489.923 	19245.382 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,DE	174147.019 	205791.412 	182397.826 	175864.068 	171855.402 	154786.061 	143393.546 	156576.407 	161354.921 	165637.054 	152423.589 	157379.576 	166199.572 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,DK	9564.797 	10939.241 	9123.31 	10407.336 	10885.626 	9413.59 	9709.046 	10017.573 	10748.134 	10675.597 	10274.96 	10403.646 	9910.884 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,EE	2761.917 	2590.283 	2457.099 	2476.459 	2471.127 	2418.766 	2248.36 	1536.396 	2250.245 	2375.189 	2106.55 	1734.194 	2068.264 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,EL	29912.097 	26177.643 	26557.718 	24794.129 	20672.153 	18607.8 	18556.274 	16233.264 	20753.196 	20297.917 	24035.104 	24903.19 	28447.53 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,ES	107485.371 	107825.846 	102394.893 	87752.849 	87221.185 	86113.657 	91959.502 	95649.767 	104542.308 	101003.876 	87437.416 	95527.927 	104741.484 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,EU27_2020	923854.116 	973966.527 	906041.382 	845632.198 	837104.487 	794683.692 	770487.958 	802279.733 	840612.397 	846655.79 	757155.298 	793570.804 	858031.07 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,FI	14163.411 	14428.977 	14097.992 	12758.923 	12067.281 	11425.478 	11293.696 	11227.314 	11288.238 	11424.9 	10298.444 	10158.494 	9851.25 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,FR	130639.069 	153516.997 	140506.216 	136360.492 	135586.701 	130305.866 	123829.384 	130573.746 	132071.028 	132367.624 	113103.712 	115660.124 	123836.089 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,HR	7929.453 	7396.532 	7272.113 	7015.367 	7157.474 	6770.31 	6474.452 	6797.635 	7303.081 	7407.158 	6475.523 	7166.287 	8196.269 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,HU	13288.577 	13044.27 	11892.826 	12184.806 	12809.246 	10550.68 	8429.318 	11445.903 	11652.187 	12939.407 	10381.077 	11638.224 	14446.312 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,IE	6384.661 	8975.905 	10927.288 	11345.671 	11758.812 	12548.747 	12534.76 	13650.072 	12588.295 	16119.434 	15399.433 	11824.634 	12261.289 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,IT	151831.994 	148040.716 	132989.889 	120903.659 	117187.951 	112759.15 	109873.823 	112272.335 	116589.339 	112898.017 	97703.68 	108671.765 	120814.799 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,LT	5781.893 	6244.868 	5742.177 	5404.5 	6140.418 	5617.623 	4865.448 	5003.773 	5318.392 	5276.221 	4249.265 	5019.979 	5301.9 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,LU	1433.924 	1822.388 	1363.601 	1194.656 	1328.242 	1416.24 	1364.666 	1362.932 	1287.924 	1291.544 	1416.056 	1515.015 	1439.179 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,LV	3092.929 	3116.196 	3286.758 	3131.614 	3180.659 	3017.212 	2765.282 	2972.692 	1842.335 	2925.024 	2845.979 	3170.674 	3357.179 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,MT	1042.447 	940.814 	912.05 	849.316 	972.512 	872.562 	866.985 	841.472 	854.542 	883.903 	756.015 	784.838 	945.858 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,NL	37499.957 	29878.98 	37495.671 	32760.524 	33039.003 	33027.875 	31535.338 	30287.851 	33814.889 	35844.446 	33042.289 	32368.112 	32258.619 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,PL	58535.145 	62882.516 	58560.439 	54664.408 	55833.658 	52292.396 	50393.153 	52556.689 	55829.632 	54512.38 	48031.844 	52382.145 	56615.044 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,PT	25183.367 	22824.249 	24001.175 	20657.502 	20480.026 	19342.405 	19043.612 	19243.976 	20380.732 	20301.823 	16687.463 	17869.141 	20391.874 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,RO	31942.774 	32523.579 	30069.484 	27125.452 	27878.207 	28312.108 	28482.373 	29191.055 	30476.384 	31719.688 	30742.422 	30616.975 	37071.04 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,SE	17752.11 	20688.013 	17177.831 	15278.61 	15478.312 	15650.244 	15449.528 	15462.514 	14996.866 	14754.318 	13520.412 	12281.303 	13108.99 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,SI	5941.007 	6113.176 	5113.739 	4646.066 	4608.451 	4361.29 	4338.077 	4434.409 	4501.011 	4837.832 	3745.872 	3936.806 	4036.233 
A,CH4_CO2E,AEMIS_CONS_FP,THS_T,SK	9311.94 	9678.133 	8263.139 	7722.543 	7406.668 	7819.083 	7446.583 	7480.783 	8479.911 	8950.621 	8066.877 	8399.022 	9462.53 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,AT	945.807 	914.915 	894.991 	875.528 	850.371 	830.836 	813.004 	803.918 	774.185 	754.868 	740.144 	738.711 	718.21 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,BE	838.035 	803.279 	794.76 	775.67 	756.883 	753.533 	746.283 	727.345 	716.882 	705.575 	691.321 	679.511 	655.735 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,BG	1020.59 	1071.581 	1034.732 	1039.002 	1045.204 	1063.781 	1050.534 	1046.193 	1010.786 	981.547 	974.88 	1011.772 	1015.119 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,CY	1174.776 	1143.396 	1114.308 	1099.541 	1112.316 	1126.997 	1149.474 	1160.657 	1163.136 	1170.497 	1191.777 	1203.805 	1180.365 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,CZ	1495.668 	1486.499 	1478.149 	1412.215 	1409.563 	1411.893 	1368.998 	1342.366 	1325.355 	1287.524 	1218.45 	1251.757 	1218.778 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,DE	746.773 	740.729 	743.859 	729.962 	708.166 	695.803 	669.259 	656.479 	627.133 	591.688 	576.248 	560.749 	544.181 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,DK	1646.622 	1604.868 	1579.315 	1555.073 	1543.19 	1519.604 	1524.003 	1516.189 	1520.258 	1483.411 	1480.771 	1494.02 	1435.285 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,EE	974.124 	943.558 	963.122 	961.932 	946.347 	868.629 	851.126 	861.516 	868.058 	876.69 	849.916 	856.734 	833.498 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,EL	1126.421 	1113.534 	1103.684 	1086.942 	1075.219 	1063.145 	1033.261 	1068.142 	1085.579 	1065.313 	1066.577 	1114.248 	1132.988 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,ES	940.79 	941.834 	915.198 	888.524 	873.279 	907.145 	897.015 	899.835 	897.487 	881.619 	886.195 	896.737 	888.394 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,EU27_2020	1036.128 	1014.709 	1008.036 	988.137 	969.712 	970.784 	958.338 	953.356 	937.719 	915.064 	906.256 	900.126 	879.377 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,FI	1089.117 	1050.97 	1038.139 	1012.354 	988.966 	980.612 	951.862 	924.655 	910.328 	890.474 	871.928 	852.642 	819.67 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,FR	1102.988 	1054.927 	1039.701 	1008.459 	981.385 	969.389 	966.657 	954.986 	934.453 	925.937 	903.633 	877.891 	855.532 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,HR	1064.006 	1059.451 	1052.476 	1035.295 	1034.863 	1069.002 	1076.197 	1082.332 	1048.32 	1039.754 	1021.717 	999.516 	984.516 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,HU	986.475 	976.189 	992.612 	980.975 	963.058 	969.275 	964.129 	969.087 	962.915 	955.702 	948.665 	934.641 	909 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,IE	3202.281 	3178.514 	3325.444 	3374.597 	3368.406 	3458.169 	3505.946 	3559.312 	3579.672 	3419.289 	3421.912 	3438.366 	3387.332 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,IT	884.462 	859.223 	866.126 	837.974 	818.896 	820.108 	811.895 	813.091 	797.844 	782.161 	797.85 	795.874 	775.026 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,LT	1333.653 	1304.962 	1325.023 	1312.109 	1298.767 	1299.491 	1275.339 	1297.595 	1236.882 	1218.058 	1185.659 	1179.176 	1137.015 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,LU	1317.434 	1232.128 	1199.135 	1181.997 	1173.978 	1150.006 	1150.498 	1125.444 	1110.776 	1051.279 	1052.262 	1031.425 	991.94 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,LV	956.224 	948.068 	983.763 	1004.733 	1041.601 	995.723 	1018.019 	1040.701 	999.486 	1004.272 	999.116 	1002.649 	1007.684 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,MT	399.992 	393.316 	401.249 	392.121 	415.363 	434.951 	452.021 	433.127 	435.385 	449.049 	437.023 	437.175 	428.429 
